sample_index,sample_id,domain,official_split,role,class_name,class_id,archive_filename,archive_member,relative_path,content_sha256,byte_size
11,124a1f0376c3568a75ea88debe1dd2d50ea9fe9ac05e658e99a26ebe13feb336,clipart,train,target_selection,streetlight,80,clipart.cleaned.zip,clipart/streetlight/clipart_292_000013.jpg,clipart/train/streetlight/clipart_292_000013.jpg,b3bce7ccd6ace396eb9c1dbadea189a965144056d7f96a756a79f40ffeecebf0,21335
12,037cd88174c5f71c21d93cf19e10235c5122d0606f7f95b0f3907916526ea171,clipart,train,target_selection,stairs,79,clipart.cleaned.zip,clipart/stairs/clipart_283_000173.jpg,clipart/train/stairs/clipart_283_000173.jpg,5885af2a5a4d91f10073d6eee5590807f0cf24fa76f3f7ad8dcac509a868be37,75632
13,a8b10d12a1f9d2f1fecbdac2cd7121bc52d4fecf2f8709c8984dcb00c11ef833,clipart,train,target_selection,panda,57,clipart.cleaned.zip,clipart/panda/clipart_209_000032.jpg,clipart/train/panda/clipart_209_000032.jpg,6ab31645de7d416763b734a635d511d767108abc19a45118db9c0a2154734082,15876
14,df8c18fcdf5f2a0ba337176542bc6a633c919d035711319f5c7e0c04b9b5f7ad,clipart,train,target_selection,pillow,64,clipart.cleaned.zip,clipart/pillow/clipart_224_000090.jpg,clipart/train/pillow/clipart_224_000090.jpg,db2308d6cd07a3f3e79b773057d500864cf7cb57e5f124552ed192daeb9c064c,18093
15,275cc755a408c3fd09361faa9589e0432de29e53a6b7ec39bb7449989dd6629b,clipart,train,target_selection,microphone,49,clipart.cleaned.zip,clipart/microphone/clipart_185_000094.jpg,clipart/train/microphone/clipart_185_000094.jpg,9580a9e1f0ef56b599db1ed540843915fdcb3dbe97b11c3baa7262a0bc6aec6c,58574
16,a3754bc2a8f4ae1c87afc8721f03f7eb010400a2e4b7e29c293fe7b3d99bfcd9,clipart,train,target_selection,pillow,64,clipart.cleaned.zip,clipart/pillow/clipart_224_000013.jpg,clipart/train/pillow/clipart_224_000013.jpg,697ddee8e4f343751ed03ddbd15285b17562cc6a87be120f8e1baa157aded897,25470
17,f6cdaec82bfeae5637793ee83ccff3db10b4abf69fd7308d73a9929c1c83146c,clipart,train,target_selection,whale,95,clipart.cleaned.zip,clipart/whale/clipart_337_000258.jpg,clipart/train/whale/clipart_337_000258.jpg,8943c999238718bdfe735c5f81ee30fc40eeb5ad1938613ce28881450bcfa261,10347
18,b36c95817fbe59330aed68f717b1de03c692cdd1009a2a489465aa55d61db770,clipart,train,target_selection,frying_pan,31,clipart.cleaned.zip,clipart/frying_pan/clipart_127_000012.jpg,clipart/train/frying_pan/clipart_127_000012.jpg,00066c8aba0780d95f58f1acce72094bfefdd87640619acd91ba78d3d32c0b7f,16315
19,575bef102ea9232af4b403afd59c129d25dc3b0669bf8fb6b1995ba82abbe900,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000066.jpg,clipart/train/feather/clipart_111_000066.jpg,1bbd4fbd9fb2497e69725b6fd5ad46ac26dd25c45c420d72951fd24d905312eb,36122
20,da72986ce116f9ff6b069e38062ab1a503d48e1cfd79089b94e212230b838dc9,clipart,train,target_selection,whale,95,clipart.cleaned.zip,clipart/whale/clipart_337_000049.jpg,clipart/train/whale/clipart_337_000049.jpg,46ffcf6e9768280c048fdf8214a6f93b633894d6b939f4410968ef3eae722699,19626
21,c71b1bc0b184b1b4b8f367d81cae8ec9a6153404536689da66d18fcad33ca825,clipart,train,target_selection,beard,7,clipart.cleaned.zip,clipart/beard/clipart_025_000036.jpg,clipart/train/beard/clipart_025_000036.jpg,0fdb4aae63db63083555b13ff211bd5c376a887946989508311942e32e3ad320,21046
22,5e06496f45faa9d640ab143c206cc53859977308d21b2e15d029488d88544463,clipart,train,target_selection,tree,89,clipart.cleaned.zip,clipart/tree/clipart_323_000094.jpg,clipart/train/tree/clipart_323_000094.jpg,6c118a0600e0c3095542bdd224ad4641894248d1b03cc638a73b51e885ae0868,62401
23,3780d5a69d2091f37efed46efe9f947ecd750e0440cf6554ab03ccc561c6d4a0,clipart,train,target_selection,peanut,59,clipart.cleaned.zip,clipart/peanut/clipart_215_000076.jpg,clipart/train/peanut/clipart_215_000076.jpg,c01f788c6a0185d943ce9ea3b148a46b3f317b0f7ff372e665bf07cdec4e43f6,5529
24,519807d842c4b1d4348b21a942c52f4b28f061496b6aad10091588ee756db83c,clipart,train,target_selection,pool,66,clipart.cleaned.zip,clipart/pool/clipart_230_000056.jpg,clipart/train/pool/clipart_230_000056.jpg,6a27ea0501b4c694e7da5a399e12601b686b5701b6c2c822ef244565f7ebd59b,12010
25,4b8f6495e1b9544ca6bc16ab810b89013d6e394512c21bb327f2cd9e6c6383a2,clipart,train,target_selection,flying_saucer,29,clipart.cleaned.zip,clipart/flying_saucer/clipart_123_000211.jpg,clipart/train/flying_saucer/clipart_123_000211.jpg,0750764ff5b151d371672ce047231157fa0c228760277cc5b2962c9dd1fd42cd,37880
26,c1c09552262faa2337e51822f2d1e4492a49219e3b1d821171724389dc22c5b4,clipart,train,target_selection,microphone,49,clipart.cleaned.zip,clipart/microphone/clipart_185_000001.jpg,clipart/train/microphone/clipart_185_000001.jpg,1a58d1cee9948b16578819eeb9633bbe8ab25448f71a92f986c2182b6e5e7d01,31157
27,cde304177fe51c1abed7139e66e190f88874cc328cd36fb73d1b41f13520f6d0,clipart,train,target_selection,popsicle,67,clipart.cleaned.zip,clipart/popsicle/clipart_231_000216.jpg,clipart/train/popsicle/clipart_231_000216.jpg,377568357a27a3d5e3a1b62dbd545285a4b0c323c3c8d83ef15b5dac66d2e4e0,8543
28,7154094779809747c5d94561817c9bd2866040c467a0e315d33149ffbafc9ce5,clipart,train,target_selection,helmet,36,clipart.cleaned.zip,clipart/helmet/clipart_144_000056.jpg,clipart/train/helmet/clipart_144_000056.jpg,f379ad9035cffb9a80602f841b24d20c20fc77ba9ebbe8f4e549d3600ab01d70,23648
29,52a8a7f0332f14c654e0789e64bbf3367b5275587722fc4a3ca357993bab374a,clipart,train,target_selection,bracelet,11,clipart.cleaned.zip,clipart/bracelet/clipart_040_000159.jpg,clipart/train/bracelet/clipart_040_000159.jpg,aedad34ce3c5c37b4dc294bddc5f5398be775fb7883e2360ee8b167e75e74c71,18056
30,6d106e0cfc9aa1cf3e5d7f4a8857d9ca043b860c33c37a74c853bd7547fc0d20,clipart,train,target_selection,microphone,49,clipart.cleaned.zip,clipart/microphone/clipart_185_000067.jpg,clipart/train/microphone/clipart_185_000067.jpg,5b7ad87e9170c16ddeab19d8536e830b935388613ef0070577e07c74bc1e876a,11136
31,3f2736548a79b8b1acf007db46e830ab9579faca6c2497ba9480e3047c379082,clipart,train,target_selection,duck,23,clipart.cleaned.zip,clipart/duck/clipart_100_000012.jpg,clipart/train/duck/clipart_100_000012.jpg,fd932c8f147691daa532f145a910950957c3fa3da5d631734d10ef84bcd58649,8145
32,1c24fafa84f3fe6d2cd6da37685addc3686bdab702b450a6107fa998bb63edb4,clipart,train,target_selection,violin,93,clipart.cleaned.zip,clipart/violin/clipart_333_000161.jpg,clipart/train/violin/clipart_333_000161.jpg,ebbd2ff38685a31d620cbbc6438844beba15df88ed1f7570578335d02af14eb1,41573
33,b515470cad2d66e9f7d185caedeb3156d3c2546d881b3d54fd87f7928433db5b,clipart,train,target_selection,hedgehog,35,clipart.cleaned.zip,clipart/hedgehog/clipart_142_000064.jpg,clipart/train/hedgehog/clipart_142_000064.jpg,e31c56dd421c8ab3295b1a5734eab6683c2769ed765a9e8a012fc1bb15d09caf,66391
34,87c50b0446d295ffabcde20684580f13289d9300e2c7d4c9f2022b2f2727edc0,clipart,train,target_selection,stairs,79,clipart.cleaned.zip,clipart/stairs/clipart_283_000177.jpg,clipart/train/stairs/clipart_283_000177.jpg,39b1a93921844fa041f307107ef25ae6badb37a3de3ef66691c18703214412ac,35745
35,f2babb20af306085a1cd6d18d7bd4c21af0265f28e27e7cc2075c5f00b550a1d,clipart,train,target_selection,The_Mona_Lisa,1,clipart.cleaned.zip,clipart/The_Mona_Lisa/clipart_311_000031.jpg,clipart/train/The_Mona_Lisa/clipart_311_000031.jpg,d871ee8774cfc879d50849373d5f0e81645bc50d10bbea3430442a85eeece43b,32149
36,876378c21d6165a2f3f6cb820a8cce63bcaa43e6b57720dc826c5e863c867fe4,clipart,train,target_selection,nose,55,clipart.cleaned.zip,clipart/nose/clipart_199_000014.jpg,clipart/train/nose/clipart_199_000014.jpg,d991af4f5cc808fbdb166f891ecd0ae1b3a6d890210db17f7060737d5b76eb58,28968
37,272fb11d0529fde0aa010fd14f26d099801d04ddd83552fb3e84c9641f9b7296,clipart,train,target_selection,foot,30,clipart.cleaned.zip,clipart/foot/clipart_124_000072.jpg,clipart/train/foot/clipart_124_000072.jpg,e9ea214b12e6eb6d9ed9e9e82298ec13cb4c0e170fa8616bd81e4f2fd5c78c4f,13214
38,a1c4424147fabdc39867a4f138242d05dea9f72ca86e03628211bc3911eeccb5,clipart,train,target_selection,hedgehog,35,clipart.cleaned.zip,clipart/hedgehog/clipart_142_000009.jpg,clipart/train/hedgehog/clipart_142_000009.jpg,2b302ee00815c1d12e9c58afa6bedd8325c5c2e4979058f6def84705e9e17cb7,25237
39,dae17302a192c60653537c20569d435bf11f78a4c6579cfcad4c1c1206d3c1b5,clipart,train,target_selection,washing_machine,94,clipart.cleaned.zip,clipart/washing_machine/clipart_334_000187.jpg,clipart/train/washing_machine/clipart_334_000187.jpg,1f90ebaddd74129fba098e0d8c5cf65b0cdbfeae35890334ccb4537efda4b28d,14484
40,6cce092f3edbf5a5c9997e172bbaea96d2fe65eb4229b7e6ed70ac46ae7d755a,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000072.jpg,clipart/train/feather/clipart_111_000072.jpg,dc6fc804d5bfc1d599c91cf98137095848e8e5cac082b8ab3e86cf4487afcad6,55685
41,b6c61ff17b9aa2761f616ceddb2bc453fd5fbfc759d22429835a671729eef9a4,clipart,train,target_selection,zigzag,99,clipart.cleaned.zip,clipart/zigzag/clipart_345_000131.jpg,clipart/train/zigzag/clipart_345_000131.jpg,30966ba27b7278c1c6201bd64f83d8196ecf8c076ea82dc73eb541a682491ae0,8060
42,4ae677ff59e3848c07c6e1bef64806aba28ac226dcaa4212901e71463849072a,clipart,train,target_selection,traffic_light,88,clipart.cleaned.zip,clipart/traffic_light/clipart_321_000209.jpg,clipart/train/traffic_light/clipart_321_000209.jpg,4b91df0ba55510a20508d1e50957387dd9950ec3f57a1be08c17056900782441,34061
43,c669cd98345614a2131fe4565cf892fdfcaea18025790d18b4a108b96d264e2d,clipart,train,target_selection,sweater,83,clipart.cleaned.zip,clipart/sweater/clipart_298_000022.jpg,clipart/train/sweater/clipart_298_000022.jpg,7e86b2fd58f7eb3dfd708ab3ec3bc8fb44ac88ad303f0ca585c47d04ddfe1fd7,25969
44,2ca0bfdbcdd7a9451252a8b2e42078ee504a4335a48843bd2902907d26b0931c,clipart,train,target_selection,The_Mona_Lisa,1,clipart.cleaned.zip,clipart/The_Mona_Lisa/clipart_311_000034.jpg,clipart/train/The_Mona_Lisa/clipart_311_000034.jpg,7233f3532bc6f8660e7c5a907ba40c3facd1cf77b523bd595fcc6cb7d93a68d2,58531
45,aafa6103dace8c2cd761ce40a75458589dc57ed3cfc94d03d744c8c72768d3f3,clipart,train,target_selection,suitcase,82,clipart.cleaned.zip,clipart/suitcase/clipart_295_000231.jpg,clipart/train/suitcase/clipart_295_000231.jpg,1f406e656ea44189b8a599353070b006b8d5986726830d042653a21564b4b820,21742
46,d15cbb6c94f4c7ba6fe66526b8d897ce2104ef1c014b382e20bf4ca9389fac6f,clipart,train,target_selection,fan,25,clipart.cleaned.zip,clipart/fan/clipart_110_000116.jpg,clipart/train/fan/clipart_110_000116.jpg,67cbb8fd8a8d46ac88eecf85bf0009a7f1edb2625b77f85d372ca7858bad24cc,32698
47,eacf270ad2b45c1f61e1f2078941b9c516306d11ca9b5f5f25fcfd0290874c38,clipart,train,target_selection,hedgehog,35,clipart.cleaned.zip,clipart/hedgehog/clipart_142_000106.jpg,clipart/train/hedgehog/clipart_142_000106.jpg,72b64e761609be4096b65b5d3b62d073aec38bb2c19963132e1965603facfd24,33993
48,c5f200b67c03de57b779456a031fd2817462d63d31e71e7ded8e5fc196ec5907,clipart,train,target_selection,headphones,34,clipart.cleaned.zip,clipart/headphones/clipart_141_000138.jpg,clipart/train/headphones/clipart_141_000138.jpg,92bf06e88361c2417d9c917348955b241f7a92bf5bc1bcd69953e87dd52ae1f4,34899
49,eaac4a6bfe23b7f159e7b4697152b06e90bda97fa6d70ba751d645ce094be289,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000192.jpg,clipart/train/feather/clipart_111_000192.jpg,0719650b8b696b3cee7dbbac9597eff2bf3005215e46d8fa34aecda4151190cc,22082
50,4bbac6419405beab3edfc5c59571e36d47954d4c908815360cec8bc78f3752e2,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000183.jpg,clipart/train/feather/clipart_111_000183.jpg,1488c4b0335c9cd608c0adceadacdadcdcd30e08ecffbbfc03ffdac97237c74b,107238
51,1027f7d9e0384517af391e7bfe80902bf6bc4c60b0449b1930c50c935a05d7c7,clipart,train,target_selection,frying_pan,31,clipart.cleaned.zip,clipart/frying_pan/clipart_127_000093.jpg,clipart/train/frying_pan/clipart_127_000093.jpg,290c9e6a2fa1eede7131751485befa141d95b64fe7510cb63e826aa0574bb68b,39405
52,10e7ed122d82ef3dc9567eb8f2b92485febe7053a65e3ae169ed0c4b1217645e,clipart,train,target_selection,frying_pan,31,clipart.cleaned.zip,clipart/frying_pan/clipart_127_000160.jpg,clipart/train/frying_pan/clipart_127_000160.jpg,6c480de1e89eb354b7606e6d7edce28e0f4b14457f2eca2e369169837fbdc431,18973
53,85256fb77ce39410e46431ee582d0b72a155330272f8e63fc8085b24585afac2,clipart,train,target_selection,stairs,79,clipart.cleaned.zip,clipart/stairs/clipart_283_000175.jpg,clipart/train/stairs/clipart_283_000175.jpg,c1058cffcde2b6d8dc3c3b1e6c52fafae6264cb6d2ad566e361759ce4f28d3cf,22902
54,2379192bf3915c4710553dffde4f63731795c4f5e8117872871578053f5a72fd,clipart,train,target_selection,squirrel,78,clipart.cleaned.zip,clipart/squirrel/clipart_282_000062.jpg,clipart/train/squirrel/clipart_282_000062.jpg,930a43b566bba0a5efe82f00a990657660b15c26e82ec61252b433f06ed6266f,28443
55,811ddb0995009cd2825234915c13918da8801093b2b7969270824628952f93ec,clipart,train,target_selection,harp,32,clipart.cleaned.zip,clipart/harp/clipart_139_000116.jpg,clipart/train/harp/clipart_139_000116.jpg,9a256c1bd0e3c02426e32d81b5e6815bd2479b666efd1f5cff59c02a4c657521,75581
56,f31a97ee5a5fde7067fb6ef9822b37396d98b9b96f4d34e8499ee42a1a5be409,clipart,train,target_selection,butterfly,13,clipart.cleaned.zip,clipart/butterfly/clipart_050_000039.jpg,clipart/train/butterfly/clipart_050_000039.jpg,6fa726a112d9ce0a20ce6ddccdf1c78117bce6e9cf79232bf7151b0a6ddaf840,50465
57,37ccf7dfcb806282663c18b0bbee5bdbd55b9cbe630b1277667e7978abdeb318,clipart,train,target_selection,truck,90,clipart.cleaned.zip,clipart/truck/clipart_326_000085.jpg,clipart/train/truck/clipart_326_000085.jpg,35ac735c0a6ff7780f35a544a1970d3b4fdf60ab0f8dc26271d08c62f1853fc3,25487
58,a838c4da2daac471488ebbd0077492e6c3eedf076bb1aa12fa5d74491c5fc6ca,clipart,train,target_selection,flashlight,28,clipart.cleaned.zip,clipart/flashlight/clipart_119_000040.jpg,clipart/train/flashlight/clipart_119_000040.jpg,3c10f867e96c56e54141ef370a1d242fea1bf9685ea5d3d14b1cb91785bef717,24318
59,4caf3a5520aeb722f5f3e15245a077493c2bc42063663452345af3d5c46532e0,clipart,train,target_selection,truck,90,clipart.cleaned.zip,clipart/truck/clipart_326_000007.jpg,clipart/train/truck/clipart_326_000007.jpg,2156eec4768ae58a12b8097eb494bf0dc0b75ed620f7b68c0298223ed06a01af,31112
60,0d9909e774b1afaca2d63e062ca5775d8eb4b5b97cd822fddbe79b7f21b7ef08,clipart,train,target_selection,radio,69,clipart.cleaned.zip,clipart/radio/clipart_238_000005.jpg,clipart/train/radio/clipart_238_000005.jpg,e3986bad37f44fb1e6a01804ca97f1ac5ed8cbee4ae58e09733d393484740253,20143
61,2048c874e1de9fd3449275e8c3f33a56e9d4435340cbe6019d9448027601bf7c,clipart,train,target_selection,headphones,34,clipart.cleaned.zip,clipart/headphones/clipart_141_000071.jpg,clipart/train/headphones/clipart_141_000071.jpg,d68859b502d7b52a7dadc1c9d76573a3064d24281aa9a9f37969422322097279,41784
62,7161377ffaa76867d97682b46ed24c0d785aa96d3a367ce58453777f706d9f85,clipart,train,target_selection,tornado,86,clipart.cleaned.zip,clipart/tornado/clipart_319_000067.jpg,clipart/train/tornado/clipart_319_000067.jpg,3efd23d5756ac99d781923e8bb0c97d7ba2ea8da712b66dbddd90f4d0330cfd9,28069
63,d0d20fc869e0da8fa3d2e7e9302bb37a9450cbf8df192d884ed0d0a9e8b813d7,clipart,train,target_selection,angel,3,clipart.cleaned.zip,clipart/angel/clipart_005_000060.jpg,clipart/train/angel/clipart_005_000060.jpg,13a4ba03b71fd8aa19d84ef8541814aae8f363d785d41497acca49b65881460c,32002
64,7e27c291b64f19ef9818ffc5f52ccbb7bc9bef5293c7fe5f8439bb5973c456e9,clipart,train,target_selection,hot_tub,40,clipart.cleaned.zip,clipart/hot_tub/clipart_152_000143.jpg,clipart/train/hot_tub/clipart_152_000143.jpg,7633c3193f097511420256fde7ba5424b7af1afeb2509b877feaca429adfc718,20077
65,3907d84facb3ad94385b59a984dd9be3ab735f050d7627d2019fef78d465a958,clipart,train,target_selection,mug,53,clipart.cleaned.zip,clipart/mug/clipart_195_000072.jpg,clipart/train/mug/clipart_195_000072.jpg,a600f16631ad75fbb3316c515ee35d47727a95fba638024e618010d7ed560293,35540
66,6d9bd09692c52abc5345ea09e0a75895044c41e5fafaea11c905d156d1faf002,clipart,train,target_selection,traffic_light,88,clipart.cleaned.zip,clipart/traffic_light/clipart_321_000015.jpg,clipart/train/traffic_light/clipart_321_000015.jpg,51f6a52f8715795b084b105a9eb0901f619d325684e00ee192b5357072ab487e,35555
67,b2f604c027e747d77820765f2c281fa03672863440afd8edfd35fb83c23d61e0,clipart,train,target_selection,cookie,19,clipart.cleaned.zip,clipart/cookie/clipart_079_000023.jpg,clipart/train/cookie/clipart_079_000023.jpg,1f7ce0ff9f91f1e3195a8478aa00670c2b6dedcfb14134357edc3df831a3a492,79078
68,7ddc6b0045a3c1cc08411983540742d0024974a900d8bdf71f86f5c01a152520,clipart,train,target_selection,headphones,34,clipart.cleaned.zip,clipart/headphones/clipart_141_000237.jpg,clipart/train/headphones/clipart_141_000237.jpg,b7406e951f501380b3a462bf22acea58b76cdf3d4bbfc65f394d3891c3c7440b,60121
69,f9f3b061dabba678367a5fb4cea7e1a173255db24059f6afec9a02c5d470e79e,clipart,train,target_selection,washing_machine,94,clipart.cleaned.zip,clipart/washing_machine/clipart_334_000019.jpg,clipart/train/washing_machine/clipart_334_000019.jpg,f022b109bef2675a4002e6b50b71f3296f060913f100574ed690d61e49ff248a,34047
70,12661dc9b62cedbe6cf37ea94beaae19f386736ba3f48a2ab70dc4377a1cac69,clipart,train,target_selection,panda,57,clipart.cleaned.zip,clipart/panda/clipart_209_000015.jpg,clipart/train/panda/clipart_209_000015.jpg,2f1bb1e0e61f75fbe5d6c0ddbef3dcaa27c687893b14e8bcaa1dcd7e10f7d374,23721
71,1eb13c4debe07bf34262f6ceb413c94b0e45f3cbc2c8b97c4996a5da3a80d2c2,clipart,train,target_selection,snowman,75,clipart.cleaned.zip,clipart/snowman/clipart_273_000170.jpg,clipart/train/snowman/clipart_273_000170.jpg,3f690c4d9f9ee46b4134f9894302710065e214860877c1bf415f28ab6ff982fd,47711
72,0b9f6c65dd3b10719381503797795c81b4eab7bf09e23d6fd0a8a3c7494e0e68,clipart,train,target_selection,fire_hydrant,27,clipart.cleaned.zip,clipart/fire_hydrant/clipart_114_000002.jpg,clipart/train/fire_hydrant/clipart_114_000002.jpg,1abebab320396b2c42a7f6b7cb84b971bf9d1f0f5be60f998f50c2056fc60878,27815
73,e1ef1653cb4913de8b8ef6402ce4706ebb6450a0c995e81d616b9358d7b14bdf,clipart,train,target_selection,horse,38,clipart.cleaned.zip,clipart/horse/clipart_148_000187.jpg,clipart/train/horse/clipart_148_000187.jpg,4c1f759e098beb25b07d2daa83673a4d81ff494b158e68e184c6d8f5c02c98bc,35528
74,dd7cdf662cc8058fae881d6e5ba85da1150fa83389f974b5893a297c3b7abdd7,clipart,train,target_selection,string_bean,81,clipart.cleaned.zip,clipart/string_bean/clipart_293_000020.jpg,clipart/train/string_bean/clipart_293_000020.jpg,762677da60264844e7195b5c7d00844271cc3d25aa08129921c944dfc1e1c9c3,6051
75,7e9a0d229940f6b61e11a09717e54dc35644e14fb45615e13a9672bfc23615f3,clipart,train,target_selection,spider,77,clipart.cleaned.zip,clipart/spider/clipart_277_000110.jpg,clipart/train/spider/clipart_277_000110.jpg,6aecd5ce32ba676d8e43e90f0ae5d4f24e43827459c812f238e4d3fc7b73b415,15401
76,562a89fb6f1f86a4168dd4bdaa0375b7dbeb7e62910baa49e94004aa14a10c20,clipart,train,target_selection,piano,62,clipart.cleaned.zip,clipart/piano/clipart_220_000014.jpg,clipart/train/piano/clipart_220_000014.jpg,f1ec0e38a46aec3e5fd70249cac7e39cad1a9becb4712a17e9fa56d762776a4e,28586
77,66e49795d84849d7ee3ee335e2d5749c7feec3b3017b0f71a4902ec15588da94,clipart,train,target_selection,streetlight,80,clipart.cleaned.zip,clipart/streetlight/clipart_292_000042.jpg,clipart/train/streetlight/clipart_292_000042.jpg,a04f91118a5df271268fd7a56d7e71f7b130953df49cb738a95d3f1d3d6f63bc,12110
78,7cc891cad87bc8f4b01ae38c243e665e2f297986a3cffd5ffb8b6f3ef28620ec,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000166.jpg,clipart/train/feather/clipart_111_000166.jpg,cf2d4e9e20154f2bb352248d46124f79d4b43b821be4be5e450d12af62018dc2,5935
79,e6df3e88af701533d048fdd390adfbad832500416b3f4f8f9532d5e54ee22002,clipart,train,target_selection,feather,26,clipart.cleaned.zip,clipart/feather/clipart_111_000159.jpg,clipart/train/feather/clipart_111_000159.jpg,d687979b030c0191ca767d5c244f09baf7309dd3b70d8798de0598c0f48cbb6e,20695
80,7aeb23993ad56a0a447cec73f8d1f954ae7ee68de917356616cdf5fc386a1752,clipart,train,target_selection,frying_pan,31,clipart.cleaned.zip,clipart/frying_pan/clipart_127_000064.jpg,clipart/train/frying_pan/clipart_127_000064.jpg,6829c0a9426a1267efcc824df718648a11715f0329e7078d85f00b64a9996b0d,13473
81,ec41c6fff2ecbb997dfd6bbc2ff7fbe7b96375c4b12185b8fd9240bee7c20653,clipart,train,target_selection,violin,93,clipart.cleaned.zip,clipart/violin/clipart_333_000117.jpg,clipart/train/violin/clipart_333_000117.jpg,0cc63be39590efa93a1939b542c616bb60a6c79abdeadf5f9f04d95040d1f187,32565
82,94f56814d81f547aea4753c159a26bb9aca3a3e4dbafa9d708ca57e169fa75f4,clipart,train,target_selection,bracelet,11,clipart.cleaned.zip,clipart/bracelet/clipart_040_000015.jpg,clipart/train/bracelet/clipart_040_000015.jpg,02d86f486324c2eb92fb35446ad429463057fd337816a07d51f4bc446261ed80,20850
83,53ee9a1cb2e4c7ac46bcc65a1dfcb54885fa3fd07d5274d43945c8d8197198b6,clipart,train,target_selection,see_saw,72,clipart.cleaned.zip,clipart/see_saw/clipart_257_000174.jpg,clipart/train/see_saw/clipart_257_000174.jpg,727bee54a549d030d7bb911cd2007b4b5efe49d51a8d9e2418a955a2b4f6d240,14847
